,challenges_obstacles_mistakes,outcome_numeric,gender
53," My bandwidth has been our biggest obstacle to growth. In addition to my full-time job running my consulting practice, I am also a doctoral candidate completing my dissertation, have a toddler at home, and have been recovering from surgery. So I can't always dedicate the focus I'd like, which is part of why I need to be strategic about what's needed if we are to attempt to grow this fall.  Beyond that, I’ve made a few tangible mistakes along the way. I’ve spent the money I allocated to marketing inefficiently I tried a few different approaches just to see what would stick and many of them didn’t. We tried a tiered pricing strategy, created some less-than-perfect-looking online ads, and we hired a marketing consultant to put together a plan that wasn’t any good.  ‍",1,0
54," At the beginning of this year, we were in the process of closing our largest funding round. Things were looking good for the Summer. Then, lockdown was announced. Though the round was approaching completion, it hadn’t finalised. That’s when disaster struck. We received an email from our lead investor saying that they were out. We called an emergency board meeting at 11:30pm on a Thursday night, trying to work out what the hell we were going to do.  We only had 2 weeks of runway left, and we had to somehow turn that into a year. One of our investors suggested that we choose 1 of our 9 employees to keep. That was a hard thing to hear. We came up with a few options to pursue, but we didn’t have much time. It was with a heavy-heart we called the team meeting that day to announce the current situation. The initial response from the team was phenomenal, something neither me or my co-founder, Callum, could have possibly predicted or asked for. Everyone rallied. People offered to take pay cuts or no pay. We didn’t ask them to do that. Thanks to an incredibly solid effort from Callum and overwhelming support from the team, we managed to navigate through 2020. Somehow, though, we didn’t just “hang on” as a business, we grew. Quite substantially, actually. This is one of the biggest obstacles we've overcome as a business. As a startup we will encounter countless more, and if this taught me something, it is to treasure the team and the support we give each other through the good times and the bad. ‍",1,0
55," Building the platform quickly and cheaply. Using the .NET stack, I found was too clumsy a way to build the platform. At least I found that was too inefficient. Maybe because of the complexity of learning each component in the stack. My current project is using MeteorJS and MongoDB. Took me less than a month to learn. ‍ What obstacles did you have? Convincing prospects to sign up. Keeping my partner’s spirits high.Your personal and your team disadvantages. ‍ Were there any disadvantages in the market of Eventloot? Event planners are very busy. Wedding seasons make them virtually unreachable. The profession is not exactly established. There’s a range of commitment in that community. Some planners do it for fun others will quit in a couple years and then there are those that have an army of planners working for them. ‍ Did you have any disadvantages in comparison with your competitors? Our competitors were either very established or well-funded. ‍ Did you commit any mistakes? Building Eventloot without consulting with a customer. Initially building without designing the platform on paper. ‍ Did you make any mistakes that cost you time and/or money? We didn’t talk to the people we were building Eventloot for. As a result, we spent a lot of time building either the wrong thing or something they didn’t need. Hiring subpar freelancers initially and then having to find a replacement to redo their work. ‍ Were there any things that could have been made in a better way? Build Eventloot with MeteorJS and MongoDB. Roll out with an MVP that had core functionality that was absolutely useful to a planner. Consult with an established wedding planner at each stage of developing the app. ‍ Any missed opportunities? Working with wedding planners early on.",0,0
56," One challenge that I had run into that I didn’t previously consider is platform loyalty. It’s a royal pain in the ass to get people off the platform that they are already using and to get them to start using something else. There are a number of reasons why that is the case, but the most important one is that you are going directly against the platform’s investment of keeping their users right where they are. The Facebooks of the world invest hundreds of millions to make people stay in-app for as long as possible and actively work to discourage switching to a direct competitor or the use of alternatives. Another factor that made ExploreVR.net an impossible business was timing. Bill Gross says that timing is the single most important factor in the success or failure of a company. When I started ExploreVR.net I felt that the timing was spot on, but the more I got into the project the more I realized that I was about 2 years too late. Later on, I learned about the Technology Hype Cycle model (which I highly recommend that anyone working with emerging technologies studies) and it just crystalized exactly how late I was to the party. My gut tells me that if I built the same exact site two years prior, it would have been successful even in spite of every mistake I committed. That’s right, a better timing would have changed everything. Jumping in the same exact niche earlier would have given me the time to correct my mistakes. Very often it’s far more important to be first, to define the category. Two years ago, I would have had a shot at becoming the biggest site of its kind and delivering value to the users. But I entered the market too late, and as such couldn’t put together a compelling value proposition. As a wet behind the ears startup founder, I was out of touch with the element of timing. Finally, I’d like to point out one supposedly critical thing that was not a factor – money. I made a decision to be self-financed. To this day I firmly hold the belief that having or not having money doesn’t solve the fundamental business problems. Problems like, you know, your customers not wanting your product…. Would Plankton’s Chum Bucket be a big hit with Bikini Bottom residents if he had 10 branches and a $50 million dollars operating budget?  No, because he didn't sell Krabby Patties. Also, as the Founder and CEO, you need to be ready to handle money.  This is especially true if we are talking about outside capital.  What assurances do your investors have that you won’t just squander the cash on stupid stuff? Go and learn with your own money. The magnitude of the lessons learned when playing with your own cash on the line will make you into a stronger business person. You will learn just how irrational you can behave when there is skin in the game. Raising money when you have a solid product that customers want, and a management team that knows what they are doing is not a problem.",0,0
57," Having thought about this a lot I can put the mistakes that led to the failure of fantastic house buyers down to one main thing: not validating the idea before launching, unfortunately, this is something I should have realized at the outset. A lot of challenges can be overcome but not having a market for your product can only end one way! Having been through the start-up process I now realize how important it is to build something that is genuinely solving a significant problem for a significant amount of people. I set out to build a product that I thought I would want, and without a clear vision of the problem I was solving, and who I was solving it for, my chances of succeeding were very slim from the start. The great thing about this experience is that all I lost was time rather than a significant amount of money, instead of seeing this as time lost I see it as a valuable learning experience to take forward to my next venture. While marketing fantastic house buyers I spent an awful lot of time on Google Analytics, sometimes 1-2 hours a day trying to understand what my users were doing, how many were converting and where I needed to improve my marketing and sales funnel, or where I could potentially generate revenue through affiliate marketing. I was spending so much time on this that I built a visitor analytics function into the fantastic house buyers admin (I was already utilizing user tracking so it was essentially a rough and ready front end to show me the numbers and info I needed, rather than having to dig through GA and plug it into spreadsheets). While dissecting the failure of fantastic house buyers I realized that this was a pain point I had solved for myself and others may also want something like this so they can spend more time on their business and less time trying to gather the insight they need. This time, instead of worrying about the features and writing the code I’m fully validating the idea first. To do this I’ve put together some rough mock-ups of what I think the product would look like and have a landing page where people can sign up, I’ll only develop this further once I’ve hit a certain number of sign-ups and know that there is enough interest in my product. You can find the landing page here and I’d be really interested to hear what your readers think. (Note that I’ve not even committed to a product or domain name until I’ve validated the idea!) I also think there are a couple of secondary reasons fantastic house buyers failed, I think these could have been overcome but certainly didn’t help: Poor choice of the market: In hindsight, the UK property market is currently being disrupted by a number of online real estate agents which are significantly undercutting traditional estate agents. These currently only account for around 5% of the market and the remaining 95% is quite conservative and skeptical of technology that could reduce their income, making it very difficult to get traction. There is also a lack of online communities and influencers, with 2 huge property portals serving most consumer needs. For my next venture, I’m very much focusing on the tech/start-up world where I think there is a much more supportive community and an inherent culture of embracing new opportunities and products.Lack of industry experience: Again, I don’t think this an obstacle that cannot be overcome but choosing an industry I had no real knowledge or experience of for my first start-up only served to make it more challenging. While I don’t have a deep knowledge of the market for my next venture it is at least one I have experienced for myself and where I can better understand the challenges and problem I’m trying to solve from my customers point of view.",0,0
58," I think the biggest challenge was waiting a long time until the first paying customer. The team morale was not so good, so the first customer was a great event. For us, this brought validation that the product was desired.  Another challenge was when a key member of our team decided to leave the company before break even.  We also implemented too late a customer feature request, which would have added more value. Usually, we add extra features to the application if they make sense for the product and the customer pays for them. Those were hard times in the beginning, but we succeeded even with these challenges. ",1,0
59," With no background in software development and definitely very broke with no funds to hire a developer, I didn't know how I would build a platform by myself. I took up the challenge to research, read a lot of articles on website development, how to build an MVP, etc! Well, as they say, the rest is history.  Also, manually curating thousands of film festivals and carefully selecting the ones that are a perfect fit for Festivilia was a painstaking job. We spent a few months doing this. Well, it is still a painstaking job as we constantly research and add film festivals to our database.  One of our biggest mistakes was at the initial launch of Festivilia, we priced the service so low and this was a huge strain on us. We overpromised and in the bid to not disappoint our clients, we worked our ass off (Permit my language) to fulfill our promises. Because of this, we couldn't take any more clients for a few months for obvious reasons. If we had done that, we would have failed to deliver. This meant we lost money. Fast forward to today, we are happy we made such mistakes as this has helped refined our business model. I guess the popular saying “If you are not embarrassed with your product when you launched, then you launched too late” is true. ",1,0
60," We didn’t really think about the narrow market niche for Fibery till the official release. It took us 3 years to nail the niche and deliver something specifically for this niche. Overgeneralization may work if you have huge budgets, but if you don’t, then focusing on a niche is your only choice. I think this was the main mistake we made. We spent the first several months just prototyping and playing with various technologies. We manage to solve all major technological problems, but we may face more with growth. These are good problems to have, but I still wonder how Fibery will survive large 1000 people accounts in the future. The real challenge was a company separation. Fibery was an internal project first, and it was extremely hard to spin it off as an independent company. It took more than 2 years and endless negotiations. At some point, Fibery was close to death (and it was even announced to the team), but we survived, separated, and cleaned our cap table to get the seed round. I definitely don’t want to have this experience again. ",1,0
61," I’ve learned that you need to be very thorough throughout the hiring process. I’ve been lucky to hire many great intrapreneurs, employees, and freelancers over the years, but this was a learning curve. I used to be much freer in my approach to hiring and this didn’t always work out. Now I’m very clear about the people I want to work with, as they’re representing my business and need to have the same hard-working approach and vision I have or it just won’t work.  I try to see the mistakes of my team and me as learnings and something to be grateful for. Without them, we wouldn’t be where we are today. There are so many things I could have done differently from the start but we are all just doing the best with the information we have available at the time. Every CEO is a work in progress and I’m always reading and learning how to become the best leader I can be. ‍",1,0
62," The biggest challenge we faced was to build trust in an unorganized market. The efforts to organize have been haphazard, where complex skills are treated as a commodity that can be measured by usual marketplace dynamics such as ratings and reviews. The result is the core interests of all parties involved are compromised. When a company wants to hire a freelance developer or a designer for a particular job, they have to deal with a lot of noise, leading them to engage with sub-par/ not the best talent without having proper structures in place - thereby leading to a not-so-good experience. Increased competition and transparent pricing have not been able to solve this problem for these companies. Our consistent and unwavering focus on quality has helped us differentiate ourselves and build a reputation as a preferred talent partner in the market. We realized very early on that our community members are our core product, who have helped us garner a positive response. We continue to recognize this and have been working diligently to refine our screening process on a continuous basis. Today we are a community of 200+ such members with freelancers from 5 countries with diverse backgrounds and skill sets. They range from hardcore backend developers and the most complete full-stack ninjas to expert UX’ers andamazing illustrators who have worked at top tech-centric companies such as Ola, Amazon, Microsoft, Adobe and Goldman Sachs. Through such a high bar of quality, we are able to work with the best companies in the tech space and help solve their varied talent challenges through our community. On a personal front, wearing different hats and juggling multiple responsibilities has been a challenge I have been able to live up to. Over the past 6 months, apart from managing and delivering on my personal targets of meeting our revenue targets, I have been managing Flexiple’s finances, handling the hiring and onboarding process which saw us grow from a 4-member to a 9-member team within 6 months, and giving inputs whenever necessary on UX design.   The biggest disadvantage in the first year was that none of the three of us were especially good at tangible skills needed to grow and build Flexiple. While Hrishikesh is a core techie and had worked at Adobe and Amazon as a Software Engineer, it had been 2 years since he had last coded. Though, with our motivations aligning and immense efforts, all three of us are hands-on and to certain extent experts in a field, much-needed to grow Flexiple.  I have spent the last year or so, learning the nuances of sales and implementing them across both freelancer and client onboarding. At the same time, Hrishikesh has honed his product management capabilities while also getting back to being hands on with coding. And Karthik has taken to content marketing seamlessly and is our go-to-guy for everything relating to marketing. We still have a lot to learn as we need to improve upon our client conversion rates, our ability to meet product deadlines, and content distribution. However, the learnings we derived from the mistakes we made in the first year have us in good stead to ensure we do not repeat such costly mistakes and don’t let our goals blind us from understanding those of our customers. ",1,0
63," The biggest obstacle we overcame would be the ability to generate quality inbound traffic and as a result, good leads. None of us (the three co-founders) were active on social media or knew much about marketing. I just made my social accounts last year. Of course, one has to find the relevant channel for them to leverage, but in our case, we realized that just adding value on the mainstream social channels like Twitter and LinkedIn would help us grow our own business too. Also, learning SEO was critical but we started too late. For a couple of years, we wrote articles that were never optimized and therefore didn’t bring us any traffic. So, in all honesty, they were wasted efforts. We, of course, learned from our initial mistakes of building tech before actually needing it or understanding what to build. Since then, we have been gradually infusing it as we scale. Even now, ironically, all our tech is set up on NoCode tools as it gets the job done extremely well. ‍",1,0
64," One of the main challenges is hiring the right people. As an agency, we need to hire people who are creative and talented, can also work hard for quite a long period, and can jump from project to project.  I believe we were particularly slow in the hiring process and it is hindering our growth a bit for the moment, but it is important to hire the right people. We were intentionally slow, but in the coming months, we will start hiring worldwide for remote work.  Sometimes I can push at a speed that might be called premature scaling, and in the end, it can cost us a lot of money. Hopefully, Nastya and Davit, my co-founders, will show enough wisdom to counter my actions with common wisdom. This is the reason that I don’t like to start a business alone. ‍",1,0
65," The first one was working with an external provider. Because we had somebody else building it for us, we had to learn through that person. We didn't know what we were doing. It was very hard to iterate through those versions. We'd create a version, realize it was terrible. And then we will need to spend another $2,000 to completely rebuild the product. We were not even sure if this new version was going to work. We discovered paper prototyping and prototyping tools. I started getting into that. Another big challenge was monetization. We were trying to figure out what our product offered that people would be willing to pay for. ‍",0,0
66," I don’t want to dramatize my experience as I know there are many others who probably have gone through a lot to grow their business.  My biggest challenge was around this time last year. My newborn son was colic (i.e. - he would always cry for no obvious reason) and I was trying to balance my full-time day job alongside building Friday and keeping customers happy. Additionally, we were trying to sell our house and move to a new location. To make matters worse, I was renovating the new house on my own (flooring, trim, etc). It was one of the most stressful times of my life, but it taught me to be patient. With that being said, I’m so thankful that the season is done. It was brutal.   My biggest mistake was in the early days of product development. We had just closed our biggest customer and had just spent a bunch of time building out new features. Long story short, we onboarded them and it was a disaster. Notification emails were sent to the wrong customer, so people would see a “Bob completed an update” email, whereas Bob worked for a different company. That was massively embarrassing and in many ways a breach of customer trust. It was one line of code fix. If I had taken the time to QA a bit more, it’s possible we could have caught the issue. I really don’t like letting our customers down. I try to take this as seriously as possible and not take their trust for granted. My biggest mistakes are things I should have caught with a bit more time/effort/attention. ",1,0
67," The biggest obstacle we’ve had to overcome is time and resources (which is much the same for anyone starting!). It was only January this year that I went full-time on Frontend Mentor, and Mike only came on full-time this month. So we’ve been juggling building Frontend Mentor with our paid work for a couple of years! I had been working as a contractor, so I had more available hours to work on it. Whereas Mike has always been full-time elsewhere, so he could only manage the odd evening and weekend. This has meant we’ve both needed to be patient, but it’s also helped us get good at prioritizing the right work because of our lack of available time. Over time, the community has continued to grow, and it has picked up more and more pace as each month has gone by. In May, we surpassed 150,000 registered members on the site! Another obstacle we’re starting to see is copycat sites. Some of whom have copied our model and wording to a tee. It’s frustrating, but there’s plenty of room for other players in the space, and I’m all for competition and offering alternatives to the development community.  For anyone facing copycats or competitors launching, I’d recommend reading The Innovation Stack by Jim McKelvey. It offers a brilliant reminder that the small decisions you make through research, feedback, and gut instinct compound to create something truly unique. Others may try to copy, but as long as you’re clear on your vision, it will be hard to stop you. We’ve also turned down investment in favor of trying to build the company sustainably. We’ll see in time whether or not that’s a mistake! ",1,0
68," Managing a company of 25 people at 25 / 26 is fun but definitely challenging. Launching/growing your own business today requires total commitment, it’s nothing fancy for the first few years. 15 hour days, missing out on experiences with your friends and family because you have to work is not cool but it’s an investment towards your future and your company, if you keep remembering that you’ll be okay.  Like I’ve mentioned earlier one of our biggest challenges was hiring the right people at the right time, especially in the beginning we wanted to pretty much stretch ourselves as much as possible before hiring someone so we are 1000% sure that we need to fill that position.  Not hiring fast enough. You know, as a founder you think that you can do it all the first few months but that’s not true and I realized it the hard way after I had a minor burnout. The truth is that the faster your hire people to help you with the small tasks you can focus on growing your business.  Another mistake is hiring the wrong people. We didn’t have an HR manager or someone experienced in our team so it was 100% based on some key factors and our gut that lead to a couple bad hires throughout the years but looking at it from a percentage perspective our success rate is over 90% which is good.  ‍",1,0
69," This section could easily turn into a novel, so I’ll try to be brief! GawkBox was my first “proper” time as a founder & CEO. I went through a lot of firsts as CEO -- raising capital, reporting to investors, managing a board of directors, owning recruiting (both employees and board members), setting vision & owning company strategy… the list goes on. The first time that you do almost anything in life, you generally aren’t that great at it -- on the whole, I think starting and running a company is the same. It takes experience and practice to get better. As a CEO, I now realize that you have so many responsibilities, but you only have the same amount of time in the day as everyone else does. Layer in a young family, and it means you have to be extremely good at prioritization, time management, and decision making… and it is very hard.   I often prioritized the wrong things.  Sometimes I deprioritized having external conversations because I had other things on my plate: legal, health insurance, accounting…these are very important, but there are others who can take this responsibility from the CEO. This led me to have a suboptimal understanding of the market we were in -- I didn’t talk to enough customers or other companies in the ecosystem. Because I didn’t have a maniacal focus on the customer, it meant that we didn’t have an organization-wide customer-driven culture and in the end, it led to us not building a product that customers truly needed. By deprioritizing conversations with other companies in our space (competitors or potential partners), I didn’t have as good a picture of the live streaming ecosystem as I should have -- and also limited our strategic partnership options when I most needed them.  We could’ve invested our money more intelligently.  We may have found ourselves in a different scenario these past few months if we had been more frugal with our spending immediately after raising our last investment round. Flush with close to $4M in the bank and believing that we had the next billion-dollar business, we prematurely set about investing in growth -- just 3 months later we’d more than doubled the team and were spending an equal amount on sales & marketing as we were on engineering. However, at that point our product had shown only poor retention metrics -- so we spent more cash filling our leaky bucket up faster only for our churn to increase. We ramped our sales & marketing spend out of sync with our product development.",0,0
70," When I was in construction I was top of my industry. I was making more money than I could spend and had a comfortable position with strong growth prospects. I was not satisfied with being comfortable and made the hardest decision of my life to leave all that behind and start in a new industry.  When I was leading my construction organization we were winning and growing. When I left, two of my companies failed. It was hard. When I pivoted into tech I was a nobody with no experience, network or status. I spent two years before GenM launching product after product and failing every time. I was no stranger to failing, but this was different. I was failing on all fronts, for a long time and that had never happened to me before. Being ignorant in tech I grew my team without knowing if I had product-market fit. That forced me to sell real estate I owned to fund the company because it was pre-revenue and we did not have a clear product-market fit to raise capital. The product failed, and I was left with no more real estate and over a million dollars in losses. To add during this time my personal life was going downhill. Me and my wife separated and my father was in a coma from a heart attack. So here I was at the bottom of a new industry, failing for years, with 1+ million in losses, and alone. I wanted to quit and go back to construction. My wife at the time told me I would not succeed. My best friend and business partner in the construction organization told me I would not succeed. My family told me I would not succeed. If I quit now I would cede failure. To me failing is quitting. Until you quit, you have not truly failed, you are only losing. I grew up poor, fat, and ignorant. My family came to this country with nothing. I changed my life before and became a self-made millionaire, married the women of my dreams and was super fit I knew I could do it again. I was down, but not dead. As long as I could move, I would. With every step, I learned. With every step, I became stronger. I emptied my cup totally and cleaned my slate. I became a student again with unlimited potential. My forays into tech before GenM failed but they did teach me a lot and they did allow me to meet my future co-founders in GenM. This time things were different. This time we would follow the right process every step of the way. I would assume nothing and trust only what I knew deeply and what could be proven with data. Slowly we started winning again. One-win lead to another. Momentum shifted. My personal life became significantly better, my fitness increased, my business was doing better. Every day I come to work I guard my state of mind. I never want to feel or be in a position like I was again. That fear helps give me drive, but ultimately it was the knowledge that we could help millions that made me look beyond myself through all the pain and suffering it was finding my purpose that lifted me out of darkness  My greatest disadvantage for starting a tech company is being located in Ottawa Ontario. Proximity is power. I am far away from the tech mekka in the Bay area. That means less talent, funding, and scale. We found ways to overcome this and turn it into an advantage however if we build GenM in the Bay area first we likely have scaled sooner. My worst mistakes were not following the right process early on and hiring the wrong people. We managed to learn from this, but at a great cost. ‍",1,0
71," I should've done more marketing and hired sooner. Things could have grown faster. I didn’t pay myself a salary for 2 years. I wouldn't ever want to start a business from scratch like that again. That was super hard. It’s a struggle that most people have when they're on their startup for the first time. You see a few people who build something and make $500,000 in the first year, but chances are they either got lucky or had an existing audience. I want to build something that's sustainable long-term. I'm not trying to build upon the current hype. Many bootcamps have raised tons of venture capital, and they tried to grow fast, and after a few years, they shut down and have to let go of all their employees. Everything depends on the product that you build. I built 3 very different products. Right now, I publish a screencast every week on GoRails, which is a time commitment. Then I have the hosting service, Hatchbox, an even bigger time commitment with less ROI than the others. And then the business template, JumpstartRails, which is probably the best ROI for the time that I give it. It's been fascinating to see those, compare them, and figure out where I want to invest my time.  The more your product is critical to the day-to-day operations of someone else's business, the more critical it is that you have perfect response times for support. Other products may grow slower but don't require hardly any support. Totally different businesses or products to run. It's been interesting to find a balance between all three that have different demands. ",1,0
72," I think the two biggest mistakes I made with Graphite were focusing on the wrong market and shipping without validation. I talked a little bit about the wrong market problem, but let me go into a little more detail.  I am good at b2b customer service, account management, and sales. Getting in front of businesses and trying to sell Graphite was never a problem. I managed to get in front of CNN, Buzzfeed, high-profile NGOs, law firms, and medical clinics. So, the problem wasn’t in generating leads. It was entirely in not understanding the product’s fit within the market I was trying to sell to. Businesses don’t want individual ownership of documents and files. They don’t want absolute control of user accounts in the hands of employees. I tried to fit Graphite into their box, but it was never a good fit. The encryption and protections were always the main selling points, but those benefits were tightly coupled with the things businesses didn’t want. Top that off with the complexity I mentioned earlier, and the b2b path was just flat-out the wrong approach. A quick anecdote to the complexity:  I had done a product demo for an NGO. Most of the staff was on the call, and the goal of the call was onboarding them to a pilot that would eventually convert into my first big paying customer. As part of the onboarding, my goal was to walk them through all the enterprise-specific features they’d be getting that the free accounts didn’t have. We never made it that far. It took 45 minutes for a single person in the organization to create a user account and understand how to manage that account. That experience was the beginning of the end for me.  The second challenge that I think I was able to overcome, but probably too late, was shipping without validation. I first built Graphite as a Google Docs alternative, but I soon convinced myself that it should be a full office suite. I built a terrible spreadsheet app, a file storage app, a Google Forms alternative, and even started on a slideshow app. Build all of these various apps and packaging them into the Graphite offering was distracting. I didn’t focus on my existing users as much as I should have, and I wasn’t able to improve the core product—the documents—fast enough because I was always building and shipping some unvalidated features or product.  I reigned this in, but it was probably too late by then. There’s actually a branch in the Graphite GitHub that was going to be the next generation of Graphite where it was only a documents app again. But as it stands, the final product that users saw was documents and file storage.  I was fortunate that Graphite’s overhead was very low (I sunk almost every dollar of grant money into marketing expenses, not infrastructure), so these mistakes didn’t cost me money. They cost me something more, though. Opportunity.  ‍",0,0
73," The biggest challenge was just starting in the stage of 0 to 1. So this included everything: marketing, product, development, etc. Not having social proof (having to build that up from scratch), not having a product that solved any customer use-cases (having to rebuild that from the ground up for one year). Everything in this process was a learning experience. So overcoming obstacles just took a lot of time. We would improve marketing and product reactively, digging for improvements at the roots. The biggest mistake was having a generic SaaS product and compromising on the product. This translated to 0 customers for us. ",1,0
74," The start was definitely the hardest. I was extremely close to quitting and just calling this another failed side project during that first month. The biggest struggle for me, as I mentioned before, was selling. I’m naturally a very introverted person and getting on the phone with people (and facing rejection) 5+ times a day was draining at the start. But I am extremely thankful I pushed through it. I feel much more outgoing and articulate (not just on the phone but in real life too) now that I have the practice and have almost no anxiety getting on the phone now. In terms of personal life, there were definitely low points. It’s difficult to wake up early, work on your business, go to your day job, and then come home and work on your own business more. Especially when things aren’t going as you planned. And while I can look back now and see a lot of my hard work paid off, it didn’t always feel that way. There were times where I questioned why I was spending all my free time on this when I was still in college. I should be having fun! Relaxing! I think anyone who builds their own side projects knows the feeling. But ultimately you stick with it for the same reason you started: because you enjoy it. I can say with near 100% certainty that I would not give up being an entrepreneur or a business owner for anything else.  I, like a lot of other entrepreneurial-minded people, suffer from an inability to delegate. I love learning to do everything myself. I taught myself to build and design websites just so I wouldn’t have to hire someone to do it for me. Unfortunately, this mindset is also limiting in a lot of ways. As a business owner now, I feel like I should be focusing on more high-impact areas of my business rather than spending hours tweaking the CSS on my site. Learning how to delegate and properly hire is definitely an obstacle I still need overcome if I want to grow my business. I’ve turned down projects which in retrospect could have been good gigs just because I felt like I didn’t have time for them. But, if I had hired people to take care of certain aspects of my business (mainly campaign management) I could have easily taken them on as clients. Speaking about the marketing ‘guru’ market in general, it is extremely easy to fall into the trap of selling a dream rather than selling a tangible strategy. I’m sure everyone at one point has seen a Facebook or YouTube from Tai Lopez or someone similar, promising to teach them the secret to working for yourself and becoming financially independent. It is a very fine line to walk when it comes to creating an online course in the marketing industry, and I never want to cross over to the ‘dark side’ of it that I’ve seen. ‍",1,0
75," The biggest challenge is figuring out a way to educate founders and marketers that there’s a whole new way that they can learn hard stuff. And that’s the peer to peer way. For example yesterday I couldn’t for the life of me figure out how to properly set up cross domain tracking on Google Tag Manager. So I jumped on a 15 minute Skype call with Max Corbeau, a growth mentor who specializes in analytics. He walked me through it on a Skype screenshare and within 3 minutes my problem was solved. If it wasn’t for him, I’d probably hire some freelancer to fix it for me and lose out on that opportunity to learn something new. Busy/successful people don’t have time to read hours of blog posts and watch online courses. Either they know how to do it, or they hire someone who can do it for them. Their time is too valuable to waste. Communicating succinctly that there’s a middle ground option is my biggest challenge so far in the realm of product marketing, but we’re getting there! In terms of the chicken vs. egg dilemma, I’d say the biggest challenge is demand side acquisition. The first month was easy, just post on Facebook Groups and communities and shout some stuff on LinkedIn. But after the low lying fruits are eaten, you need to become more sophisticated and choose your weapon of choice. Outbound? Inbound? PPC? Referral? I used to think, “I’ll just do them all!” but OMG, that does not work when you’re a team of two people working this alongside another full time job! Ideating, executing, and tracking results of growth experiments is relatively straight-forward, but for me, what’s most challenging is managing the pressure of taking corrective action based on the data. There’s a million directions you can take, and as growth lead, you have to make the tough calls. My biggest obstacle is controlling my FOMO. There’s always going to be that annoying little voice in the back of your head telling you that you’re missing out on huge opportunities by not doing that “new cool thing.” 99% of the time that voice is just talking shit. Ignore it.  ‍  My greatest disadvantage is that I don’t know Ruby on Rails, I’m a non-technical founder. I can’t just jump into the code and fix things. Anything that needs to be done like bug fixes or new features has a significant cash cost. And as a bootstrapped founder, this can get a bit demoralizing. To know that you have the design and spec sheet ready for <insert here killer feature>  but you just can’t afford it. I guess that’s life though :)  But on the flip side, being a non-technical founder also can have it’s advantages. You end up being much more deliberate with product development and rely on a lot of user testing and data to justify all your decisions. At the end of the day, you’re paying for it out of pocket, and building silly features that don’t move the needle stings. It also puts the fire on your ass to make more money. Nobody is going to come and save you, you have to save yourself. You want to build that new feature? Figure out a way to sell 100 new subscriptions!  In hindsight, my worst mistake was probably flying the team out to San Francisco for the StartupGrind conference. It’s not cheap to fly 4 people to San Francisco for a week, but the worst part was that I had to miss one of my best friend’s wedding to attend it. Sure, we got some great photos and made some solid connections, but overall was it worth it? I guess time will tell. On the flip side, I got the chance to see first hand how unattractive  the whole groveling for VC money scene is. I don’t know if I’d be so strongly footed in the #bootstrapped camp as I am now if I hadn’t seen that with my own two eyes.  ‍",1,0
76," As the app started to pick up steam, we started getting emails saying door guys weren’t accepting their covers. So we went to the door guys to ask why, and they were very candid in saying it’s a pain in the ass to pull out their phone, find their own app, and scan drunk people’s phones. So it was back to the drawing board. Ultimately, we determined that a user wouldn’t redeem a cover on purpose without getting an entry in return. So we created a button you would hold for 3 seconds, a yellow bar would fill behind the button over the course of those 3 seconds, and then the cover would vanish. Users would simply redeem the cover in front of a door guy for entry. Problem solved! ",0,0
77," The biggest challenge was selling to and convincing private gym owners that they needed yet another way to process payments and manage memberships. We made the huge mistake of not validating early on the base idea behind Gymlisted. We did not position ourselves as the provider of a service that could solve our target customer’s problem while also being something that those potential customers would want. An obstacle we were constantly faced with was very rarely getting a gym owner to get us to come in and showcase the website. It was after the idea of starting a tangential service to for private gym owners and offering it for free that they started really responding to us, even inviting us in to their gym to offer or free service.",0,0
